name,lin_complexity,monobit,blockfreq_128,runs,cusum_fwd,cusum_rev,approx_entropy_m2,maurer_L6,serial_m3_p1,serial_m3_p2
L1,19,0.45167704360004945,8.810710941862073e-195,0.4339454289995668,1.0,1.0,0.005586507982090582,0.32295743824803047,0.005515203129679548,0.0011969004764652313
L2,19,0.929444493933122,9.45227748330892e-169,0.8149590821558964,1.0,1.0,0.927118850508234,0.3662535705057296,0.927094839241534,0.6628013212511911
L3,18,0.11676688733818204,3.066796925295678e-147,0.09652404702252047,1.0,1.0,0.04157880814581262,0.7560627679449717,0.04156392658476572,0.09606598306749349
