name,len_mean,len_std,lin_complexity_mean,lin_complexity_std,monobit_mean,monobit_std,monobit_pass_rate,blockfreq_128_mean,blockfreq_128_std,blockfreq_128_pass_rate,runs_mean,runs_std,runs_pass_rate,cusum_fwd_mean,cusum_fwd_std,cusum_fwd_pass_rate,cusum_rev_mean,cusum_rev_std,cusum_rev_pass_rate,approx_entropy_m2_mean,approx_entropy_m2_std,approx_entropy_m2_pass_rate,maurer_L6_mean,maurer_L6_std,maurer_L6_pass_rate,serial_m3_p1_mean,serial_m3_p1_std,serial_m3_p1_pass_rate,serial_m3_p2_mean,serial_m3_p2_std,serial_m3_p2_pass_rate
L1,100000.0,0.0,18.4,1.3416407864998738,0.19983326690384248,0.2596012873272743,1.0,2.5723050133871902e-160,5.75183655685917e-160,0.0,0.23917911667892272,0.27869248555038095,1.0,1.0,1.1102230246251565e-16,1.0,1.0,0.0,1.0,0.33889220571984147,0.37148372051016876,1.0,0.06620028966733675,0.09237484423020965,0.6,0.33917361504765714,0.3712236655346622,1.0,0.7941907730790158,0.11475202863619247,1.0
L2,100000.0,0.0,17.6,0.8944271909999159,0.7589003568616339,0.19989197414412324,1.0,1.4103481763130296e-156,3.1536343436209155e-156,0.0,0.7604737257714095,0.17239241359406393,1.0,1.0,1.1102230246251565e-16,1.0,1.0,5.551115123125783e-17,1.0,0.9149072629797901,0.10375432270192282,1.0,0.7874172140738595,0.10878078218115593,1.0,0.914842950826279,0.10383381155965767,1.0,0.803006686584275,0.23577025159710088,1.0
L3,100000.0,0.0,18.6,0.5477225575051661,0.19164496866151243,0.13100725778698843,1.0,5.2384495738740664e-145,1.1713529343887218e-144,0.0,0.18036725149121055,0.19872828908330575,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.06296542972462452,0.03851805406415622,1.0,0.5214880311479685,0.3012877216385269,1.0,0.06164772525429894,0.03881748145788404,1.0,0.11710925589414797,0.06206993414462021,1.0
shrink_L1_L2,49788.8,162.9837415204351,9999.8,1.6431676725154984,0.4082329226005103,0.32144874215583785,1.0,2.940956898223479e-74,6.576171036585084e-74,0.0,0.47177687957322884,0.305942918624858,1.0,1.0,1.2412670766236366e-16,1.0,1.0,0.0,1.0,0.5539927457854558,0.23987193848254657,1.0,0.6252631088199101,0.3235402401655052,1.0,0.5532914757230283,0.2400085102281869,1.0,0.5945004112607987,0.24601564050649818,1.0
geffe_L1_L2_L3,100000.0,0.0,644.4,37.87215335837137,0.7655813301039383,0.33866771801152934,1.0,1.7626024975451986e-154,3.9412990018219203e-154,0.0,0.4784747072552656,0.17167531209415277,1.0,1.0,0.0,1.0,1.0,5.551115123125783e-17,1.0,0.7768566249455209,0.2114925991624452,1.0,0.3828093983447552,0.25244571853174164,1.0,0.7769454841632417,0.21097943933360072,1.0,0.7070408755041665,0.15821480625080053,1.0
maj_L1_L2_L3,100000.0,0.0,944.4,46.3281771711342,0.4072477827340058,0.45656154247662945,0.8,3.7358884608818257e-146,8.353700554888827e-146,0.0,0.41528101045620297,0.2894431681755933,1.0,1.0,0.0,1.0,1.0,1.1102230246251565e-16,1.0,0.4418634245882741,0.33719794056749347,1.0,0.6782716042253976,0.2749561563839208,1.0,0.4419744835274358,0.3372507318357119,1.0,0.5437275974820741,0.15351488924987927,1.0
